firstName,lastName,personId,gameId,gameDate,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,fullName,game_year,birth_year,age_at_game,player_threshold,over_threshold,age_expected_points,age_expected_minutes,points_vs_age_expected,minutes_vs_age_expected,age_category,years_in_league_approx,career_stage,fg_percentage,three_point_percentage,free_throw_percentage,points_per_minute,total_shot_attempts,month,day_of_week,is_weekend
Rudy,Gobert,203497,22500232,2025-11-15 20:00:00+00:00,Minnesota,Timberwolves,Denver,Nuggets,,,,,False,True,23.1,4.0,0.0,3.0,0.0,3.0,2.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,4.0,4.0,-22.0,Rudy Gobert,2025,,,12.46,0,,,,,,,,0.6666666666666666,0.0,0.0,0.17316017316017315,3.0,11.0,5.0,1
Nikola,Jokic,203999,22500232,2025-11-15 20:00:00+00:00,Denver,Nuggets,Minnesota,Timberwolves,,,,,True,False,37.1,27.0,11.0,1.0,2.0,15.0,8.0,0.533,6.0,3.0,0.5,8.0,8.0,1.0,9.0,3.0,12.0,4.0,6.0,3.0,Nikola Jokic,2025,,,22.01,1,,,,,,,,0.5333333333333333,0.5,1.0,0.7277628032345013,23.0,11.0,5.0,1
Buddy,Hield,1627741,22500047,2025-11-14 21:30:00+00:00,Golden State,Warriors,San Antonio,Spurs,in-season,Emirates NBA Cup,West Group C,,True,False,14.15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,-1.0,Buddy Hield,2025,,,14.61,0,,,,,,,,0.0,0.0,0.0,0.0,1.0,11.0,4.0,0
Stephen,Curry,201939,22500047,2025-11-14 21:30:00+00:00,Golden State,Warriors,San Antonio,Spurs,in-season,Emirates NBA Cup,West Group C,,True,False,36.03,49.0,2.0,0.0,2.0,26.0,16.0,0.615,17.0,9.0,0.529,8.0,8.0,1.0,4.0,0.0,4.0,2.0,3.0,9.0,Stephen Curry,2025,,,24.6,1,,,,,,,,0.6153846153846154,0.5294117647058824,1.0,1.359977796280877,34.0,11.0,4.0,0
Harrison,Barnes,203084,22500047,2025-11-14 21:30:00+00:00,San Antonio,Spurs,Golden State,Warriors,in-season,Emirates NBA Cup,West Group C,,False,True,28.08,7.0,1.0,0.0,1.0,5.0,2.0,0.4,4.0,1.0,0.25,2.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,7.0,Harrison Barnes,2025,,,13.42,0,,,,,,,,0.4,0.25,1.0,0.2492877492877493,7.0,11.0,4.0,0
James,Harden,201935,22500046,2025-11-14 20:30:00+00:00,LA,Clippers,Dallas,Mavericks,in-season,Emirates NBA Cup,West Group B,,True,False,51.03,41.0,11.0,2.0,1.0,25.0,13.0,0.52,12.0,6.0,0.5,11.0,9.0,0.818,12.0,2.0,14.0,3.0,3.0,8.0,James Harden,2025,,,23.58,1,,,,,,,,0.52,0.5,0.8181818181818182,0.8034489515970997,36.0,11.0,4.0,0
Kevin,Durant,201142,22500042,2025-11-14 20:00:00+00:00,Houston,Rockets,Portland,Trail Blazers,in-season,Emirates NBA Cup,West Group C,,True,True,35.43,30.0,3.0,0.0,1.0,19.0,12.0,0.632,6.0,3.0,0.5,3.0,3.0,1.0,5.0,0.0,5.0,2.0,3.0,37.0,Kevin Durant,2025,,,26.99,1,,,,,,,,0.631578947368421,0.5,1.0,0.8467400508044031,22.0,11.0,4.0,0
Jrue,Holiday,201950,22500042,2025-11-14 20:00:00+00:00,Portland,Trail Blazers,Houston,Rockets,in-season,Emirates NBA Cup,West Group C,,False,False,29.28,13.0,6.0,0.0,2.0,9.0,4.0,0.444,7.0,3.0,0.429,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,-23.0,Jrue Holiday,2025,,,15.56,0,,,,,,,,0.4444444444444444,0.42857142857142855,1.0,0.44398907103825136,11.0,11.0,4.0,0
Rudy,Gobert,203497,22500044,2025-11-14 20:00:00+00:00,Minnesota,Timberwolves,Sacramento,Kings,in-season,Emirates NBA Cup,West Group A,,True,True,34.2,11.0,1.0,1.0,1.0,6.0,4.0,0.667,0.0,0.0,0.0,8.0,3.0,0.375,6.0,2.0,8.0,3.0,1.0,14.0,Rudy Gobert,2025,,,12.46,0,,,,,,,,0.6666666666666666,0.0,0.375,0.3216374269005848,14.0,11.0,4.0,0
Karl-Anthony,Towns,1626157,22500039,2025-11-14 19:00:00+00:00,New York,Knicks,Miami,Heat,in-season,Emirates NBA Cup,East Group C,,True,True,38.02,39.0,4.0,0.0,1.0,26.0,13.0,0.5,14.0,6.0,0.429,9.0,7.0,0.778,9.0,2.0,11.0,3.0,0.0,13.0,Karl-Anthony Towns,2025,,,22.39,1,,,,,,,,0.5,0.42857142857142855,0.7777777777777778,1.0257759074171489,35.0,11.0,4.0,0
Mikal,Bridges,1628969,22500039,2025-11-14 19:00:00+00:00,New York,Knicks,Miami,Heat,in-season,Emirates NBA Cup,East Group C,,True,True,42.22,15.0,5.0,2.0,7.0,21.0,6.0,0.286,12.0,3.0,0.25,0.0,0.0,0.0,4.0,1.0,5.0,1.0,2.0,7.0,Mikal Bridges,2025,,,14.61,1,,,,,,,,0.2857142857142857,0.25,0.0,0.35528185693983894,21.0,11.0,4.0,0
Devin,Booker,1626164,22500226,2025-11-13 21:00:00+00:00,Phoenix,Suns,Indiana,Pacers,,,,,True,True,29.2,33.0,7.0,0.0,0.0,22.0,12.0,0.545,10.0,3.0,0.3,6.0,6.0,1.0,5.0,0.0,5.0,3.0,1.0,13.0,Devin Booker,2025,,,24.35,1,,,,,,,,0.5454545454545454,0.3,1.0,1.13013698630137,28.0,11.0,3.0,0
